"constant","value","unit","name"
"A",6.02214e+23,"mol-1","Constant of Avogadro"
"h",6.6262e-34,"J s","Plancks constant"
"c",299792458,"m s-1","Speed of light"
"cp",1004,"J kg-1 K-1","Specific heat of dry air"
"R",8.314,"J mol-1K-1","Molar gas constant"
"rhoa",1.2047,"kg m-3","Specific mass of air"
"g",9.81,"m s-2","Gravity acceleration"
"kappa",0.4,"--"," Von Karman constant"
"MH2O",18,"g mol-1","Molecular mass of water"
"Mair",28.96,"g mol-1"," Molecular mass of dry air"
"MCO2",44,"g mol-1","Molecular mass of carbon dioxide"
"sigmaSB",5.67e-08,"W m-2 K-4","Stefan Boltzman constant"
"deg2rad",0.0174532925199433,"rad","Conversion from deg to rad"
"C2K",273.15,"K","Melting point of water"
