"wave","Esun_","Esky_"
400,391.08313,495.79348
401,367.46808,462.87909
402,398.74321,498.30201
403,373.93095,463.6013
404,408.3434,502.28497
405,365.3786,445.90427
406,361.23814,437.51773
407,375.12422,450.9129
408,385.82986,460.21949
409,427.10062,505.64976
410,350.66958,412.07069
411,409.0073,477.07371
412,432.45269,500.75821
413,414.08791,475.95375
414,427.72826,488.08672
415,428.43668,485.39933
416,421.31548,473.95332
417,423.42211,472.94247
418,415.95518,461.35729
419,425.61495,468.75431
420,402.23041,439.95097
421,458.83539,498.45137
422,449.16906,484.61328
423,391.41715,419.43795
424,426.18033,453.62801
425,438.55544,463.69524
426,416.41341,437.39431
427,411.61447,429.50489
428,427.05599,442.71463
429,405.6459,417.81829
430,329.69991,337.39351
431,309.53139,314.72397
432,481.78487,486.79797
433,437.28188,439.06351
434,397.95226,397.04153
435,458.20207,454.2922
436,485.82762,478.75578
437,497.11467,486.9069
438,445.76635,433.96711
439,438.60284,424.34993
440,486.97338,468.27381
441,482.92676,461.60008
442,506.86252,481.44555
443,521.86331,492.19225
444,513.00594,481.43977
445,540.344,504.03304
446,474.37926,439.93184
447,530.47584,489.38791
448,542.53087,497.72024
449,554.38214,505.77772
450,551.51391,500.44957
451,593.38613,535.49228
452,566.53805,508.45886
453,522.24643,466.11442
454,557.97096,495.28939
455,550.11802,485.66585
456,573.91564,503.9296
457,575.9297,502.99744
458,575.90566,500.28645
459,564.50112,487.76759
460,563.59014,484.39516
461,586.18132,501.16732
462,593.37303,504.67725
463,599.41449,507.15375
464,583.88704,491.42731
465,574.24259,480.88155
466,594.62133,495.42998
467,557.43049,462.00734
468,586.76893,483.79798
469,596.6237,489.33669
470,574.54681,468.68809
471,582.55597,472.84584
472,606.95565,490.13736
473,591.52724,475.19872
474,602.71689,481.6627
475,616.77487,490.21538
476,595.3204,470.54212
477,589.0683,463.14399
478,627.35064,491.00458
479,604.06118,470.8425
480,627.0404,486.80473
481,612.06827,473.26692
