"wl","GSV1","GSV2","GSV3","Kw","nw"
400,0.28689,-0.09483,0.14205,5.8e-05,1.34
401,0.28886,-0.09637,0.14343,5.85e-05,1.34
402,0.29083,-0.09791,0.14478,5.9e-05,1.34
403,0.29283,-0.09943,0.14609,5.99e-05,1.34
404,0.29483,-0.10095,0.14737,6.1e-05,1.34
405,0.29686,-0.10245,0.14862,6.2e-05,1.34
406,0.2989,-0.10395,0.14985,6.3e-05,1.34
407,0.30097,-0.10544,0.15104,6.4e-05,1.34
408,0.30307,-0.10692,0.1522,6.5e-05,1.34
409,0.3052,-0.10839,0.15334,6.6e-05,1.34
410,0.30735,-0.10985,0.15444,6.7e-05,1.34
411,0.30955,-0.11129,0.15552,6.79e-05,1.34
412,0.31178,-0.11273,0.15658,6.9e-05,1.34
413,0.31405,-0.11416,0.15761,7.05e-05,1.34
414,0.31637,-0.11558,0.15862,7.2e-05,1.34
415,0.31873,-0.11698,0.1596,7.31e-05,1.34
416,0.32114,-0.11838,0.16056,7.4e-05,1.34
417,0.32361,-0.11976,0.1615,7.49e-05,1.34
418,0.32612,-0.12113,0.16242,7.6e-05,1.34
419,0.3287,-0.12249,0.16331,7.74e-05,1.34
420,0.33134,-0.12384,0.16419,7.9e-05,1.34
421,0.33404,-0.12518,0.16505,8.06e-05,1.34
422,0.33681,-0.12651,0.16589,8.2e-05,1.34
423,0.33964,-0.12783,0.1667,8.3e-05,1.34
424,0.34255,-0.12914,0.1675,8.4e-05,1.34
425,0.34554,-0.13044,0.16827,8.55e-05,1.34
426,0.3486,-0.13175,0.16902,8.7e-05,1.34
427,0.35174,-0.13305,0.16975,8.8e-05,1.34
428,0.35496,-0.13434,0.17045,8.9e-05,1.34
429,0.35827,-0.13564,0.17113,9.05e-05,1.34
430,0.36167,-0.13694,0.17177,9.2e-05,1.34
431,0.36516,-0.13824,0.1724,9.3e-05,1.34
432,0.36872,-0.13955,0.173,9.4e-05,1.34
433,0.37234,-0.14086,0.17358,9.55e-05,1.34
434,0.376,-0.14217,0.17416,9.7e-05,1.34
435,0.37968,-0.14348,0.17473,9.8e-05,1.34
436,0.38337,-0.14479,0.1753,9.9e-05,1.34
437,0.38705,-0.1461,0.17588,0.000101,1.34
438,0.3907,-0.14741,0.17648,0.000102,1.34
439,0.39431,-0.14871,0.17709,0.000103,1.34
440,0.39785,-0.15002,0.17773,0.000104,1.34
441,0.40132,-0.15132,0.1784,0.000105,1.34
442,0.40471,-0.15262,0.17911,0.000106,1.34
443,0.408,-0.15391,0.17985,0.000107,1.34
444,0.41119,-0.1552,0.18063,0.000108,1.34
445,0.41428,-0.15649,0.18145,0.000109,1.34
446,0.41725,-0.15777,0.18232,0.00011,1.34
447,0.42009,-0.15905,0.18324,0.000111,1.34
448,0.42281,-0.16032,0.1842,0.000112,1.34
449,0.42539,-0.16159,0.18522,0.000113,1.34
450,0.42783,-0.16285,0.18629,0.000114,1.34
451,0.43011,-0.16411,0.18742,0.000115,1.34
452,0.43226,-0.16536,0.1886,0.000116,1.34
453,0.43427,-0.1666,0.18983,0.000117,1.34
454,0.43615,-0.16783,0.1911,0.000118,1.34
455,0.43791,-0.16905,0.1924,0.000119,1.34
456,0.43956,-0.17026,0.19373,0.00012,1.34
457,0.4411,-0.17145,0.19508,0.000121,1.34
458,0.44256,-0.17262,0.19645,0.000122,1.34
459,0.44392,-0.17377,0.19782,0.000123,1.34
460,0.44521,-0.1749,0.1992,0.000124,1.34
461,0.44643,-0.17601,0.20058,0.000125,1.34
462,0.44759,-0.17709,0.20195,0.000126,1.34
463,0.4487,-0.17816,0.20331,0.000127,1.34
464,0.44978,-0.1792,0.20465,0.000128,1.34
465,0.45084,-0.18021,0.20598,0.000129,1.34
466,0.45188,-0.18121,0.20728,0.00013,1.34
467,0.45293,-0.18219,0.20855,0.000132,1.34
468,0.45399,-0.18314,0.20979,0.000133,1.34
469,0.45507,-0.18408,0.211,0.000134,1.33
470,0.4562,-0.18499,0.21216,0.000135,1.33
471,0.45736,-0.18588,0.21328,0.000136,1.33
472,0.45858,-0.18676,0.21435,0.000138,1.33
473,0.45986,-0.18761,0.21537,0.00014,1.33
474,0.4612,-0.18844,0.21634,0.000141,1.33
475,0.46261,-0.18925,0.21726,0.000142,1.33
476,0.46409,-0.19004,0.21814,0.000144,1.33
477,0.46565,-0.19081,0.21896,0.000146,1.33
478,0.46728,-0.19155,0.21972,0.000148,1.33
479,0.46901,-0.19228,0.22044,0.00015,1.33
480,0.47082,-0.19298,0.22109,0.000152,1.33
481,0.47272,-0.19366,0.2217,0.000154,1.33
482,0.47473,-0.19432,0.22224,0.000157,1.33
483,0.47682,-0.19496,0.22273,0.00016,1.33
484,0.47902,-0.19558,0.22317,0.000162,1.33
485,0.48131,-0.19617,0.22355,0.000164,1.33
486,0.4837,-0.19676,0.22388,0.000167,1.33
487,0.48618,-0.19732,0.22415,0.00017,1.33
488,0.48876,-0.19787,0.22437,0.000174,1.33
489,0.49144,-0.1984,0.22454,0.000178,1.33
490,0.49422,-0.19892,0.22466,0.000181,1.33
491,0.4971,-0.19942,0.22473,0.000185,1.33
492,0.50007,-0.19991,0.22476,0.000189,1.33
493,0.50313,-0.2004,0.22475,0.000193,1.33
494,0.50626,-0.20088,0.22471,0.000198,1.33
495,0.50948,-0.20137,0.22464,0.000203,1.33
496,0.51276,-0.20186,0.22456,0.000209,1.33
497,0.5161,-0.20237,0.22446,0.000216,1.33
498,0.5195,-0.20288,0.22436,0.000223,1.33
499,0.52295,-0.20342,0.22427,0.00023,1.33
500,0.52645,-0.20398,0.22418,0.000238,1.33
501,0.52998,-0.20456,0.22411,0.000246,1.33
502,0.53355,-0.20516,0.22404,0.000255,1.33
503,0.53715,-0.20576,0.22397,0.000264,1.33
504,0.54076,-0.20636,0.2239,0.000273,1.33
505,0.5444,-0.20695,0.22382,0.000282,1.33
506,0.54804,-0.20751,0.22371,0.000291,1.33
507,0.55169,-0.20804,0.22357,3e-04,1.33
508,0.55533,-0.20853,0.2234,0.00031,1.33
509,0.55897,-0.20897,0.22318,0.000319,1.33
510,0.5626,-0.20934,0.22291,0.000329,1.33
511,0.56622,-0.20964,0.22258,0.000339,1.33
512,0.56982,-0.20989,0.2222,0.000349,1.33
513,0.57343,-0.21009,0.22179,0.000359,1.33
514,0.57705,-0.21026,0.22134,0.000368,1.33
515,0.5807,-0.21042,0.22087,0.000377,1.33
516,0.58438,-0.21057,0.22038,0.000386,1.33
517,0.5881,-0.21074,0.21989,0.000396,1.33
518,0.59188,-0.21093,0.2194,0.000404,1.33
519,0.59573,-0.21116,0.21892,0.000407,1.33
520,0.59965,-0.21145,0.21847,0.000409,1.33
521,0.60366,-0.2118,0.21804,0.000414,1.33
