"wl","nr","Kab","Kca","Ks","Kw","Kdm","KcaV","KcaZ","Kant","Kp","Kcbc","phi","phiI","phiII"
400,1.5135,0.0648815,0.16734,0.527,5.8e-05,110,0.16734,0.16734,0.0666747,0,127.93,0,0,0
401,1.5131,0.0667318,0.167607,0.526,5.85e-05,104,0.167607,0.167607,0.0640556,0,120.933,0,0,0
402,1.5126,0.0685513,0.167184,0.525,5.9e-05,98,0.167184,0.167184,0.0619332,0,114.263,0,0,0
403,1.5121,0.0699821,0.167207,0.524,5.99e-05,92.4,0.167207,0.167207,0.0599215,0,107.802,0,0,0
404,1.5116,0.0709,0.167613,0.523,6.1e-05,87.1,0.167613,0.167613,0.058277,0,101.609,0,0,0
405,1.5111,0.0713334,0.167596,0.522,6.2e-05,82.3,0.167596,0.167596,0.0566994,0,95.9885,0,0,0
406,1.5105,0.0713202,0.167513,0.521,6.3e-05,78.1,0.167513,0.167513,0.0553657,0,91.0322,0,0,0
407,1.51,0.0712604,0.167426,0.52,6.4e-05,74,0.167426,0.167426,0.0541628,0,86.3441,0,0,0
408,1.5095,0.0712231,0.167239,0.519,6.5e-05,70.1,0.167239,0.167239,0.0531158,0,81.7844,0,0,0
409,1.5089,0.071228,0.166682,0.518,6.6e-05,66.5,0.166682,0.166682,0.0519797,0,77.5978,0,0,0
410,1.5084,0.0714914,0.165882,0.517,6.7e-05,63,0.165882,0.165882,0.0509515,0,73.4695,0,0,0
411,1.5078,0.0718877,0.165517,0.516,6.79e-05,59.5,0.165517,0.165517,0.0501165,0,69.4345,0,0,0
412,1.5073,0.0720185,0.165446,0.515,6.9e-05,56.2,0.165446,0.165446,0.0493873,0,65.4928,0,0,0
413,1.5068,0.0718268,0.165689,0.514,7.05e-05,53,0.165689,0.165689,0.0486038,0,61.8077,0,0,0
414,1.5062,0.0714934,0.166088,0.513,7.2e-05,50,0.166088,0.166088,0.0478761,0,58.3208,0,0,0
415,1.5057,0.0711319,0.166189,0.512,7.31e-05,47.2,0.166189,0.166189,0.0473795,0,55.0788,0,0,0
416,1.5052,0.0707629,0.166288,0.511,7.4e-05,44.6,0.166288,0.166288,0.0468987,0,52.0467,0,0,0
417,1.5047,0.0704367,0.166456,0.51,7.49e-05,42.2,0.166456,0.166456,0.0465315,0,49.2129,0,0,0
418,1.5043,0.070094,0.166622,0.509,7.6e-05,40,0.166622,0.166622,0.0461572,0,46.6006,0,0,0
419,1.5038,0.0698404,0.166873,0.508,7.74e-05,37.8,0.166873,0.166873,0.0457923,0,44.0817,0,0,0
