wave,rfl_soil1,rfl_soil2,rfl_soil3
400,0.071000,0.061800,0.058400
401,0.071000,0.061800,0.058400
402,0.071000,0.061800,0.058400
403,0.071000,0.061800,0.058400
404,0.071000,0.061800,0.058500
405,0.071100,0.061900,0.058500
406,0.071300,0.062000,0.058600
407,0.071400,0.062100,0.058700
408,0.071600,0.062200,0.058800
409,0.071800,0.062300,0.058900
410,0.072000,0.062500,0.059000
411,0.072200,0.062700,0.059100
412,0.072500,0.062800,0.059300
413,0.072800,0.063000,0.059400
414,0.073100,0.063200,0.059600
415,0.073400,0.063400,0.059800
416,0.073700,0.063700,0.060000
417,0.074000,0.063900,0.060100
418,0.074300,0.064100,0.060300
419,0.074700,0.064300,0.060500
420,0.075000,0.064600,0.060700
421,0.075300,0.064800,0.060900
422,0.075700,0.065000,0.061100
423,0.076000,0.065300,0.061300
424,0.076400,0.065500,0.061500
425,0.076800,0.065800,0.061700
426,0.077200,0.066100,0.062000
427,0.077600,0.066300,0.062200
428,0.078000,0.066700,0.062500
429,0.078500,0.067000,0.062700
430,0.079000,0.067300,0.063000
431,0.079500,0.067700,0.063300
432,0.080100,0.068100,0.063700
433,0.080700,0.068500,0.064000
434,0.081300,0.068900,0.064300
435,0.081900,0.069300,0.064700
436,0.082500,0.069700,0.065100
437,0.083100,0.070200,0.065400
438,0.083800,0.070600,0.065800
439,0.084400,0.071000,0.066100
440,0.085000,0.071500,0.066500
441,0.085600,0.071900,0.066800
442,0.086200,0.072300,0.067200
443,0.086700,0.072700,0.067500
444,0.087300,0.073000,0.067800
445,0.087800,0.073400,0.068100
446,0.088300,0.073700,0.068400
447,0.088700,0.074100,0.068700
448,0.089200,0.074400,0.068900
449,0.089600,0.074700,0.069200
450,0.090000,0.074900,0.069400
451,0.090400,0.075200,0.069600
452,0.090700,0.075400,0.069800
453,0.091000,0.075600,0.070000
454,0.091300,0.075800,0.070200
455,0.091600,0.076000,0.070300
456,0.091900,0.076200,0.070500
457,0.092200,0.076400,0.070600
458,0.092400,0.076600,0.070800
459,0.092700,0.076800,0.071000
460,0.093000,0.077000,0.071100
461,0.093300,0.077200,0.071300
462,0.093600,0.077400,0.071500
463,0.093900,0.077600,0.071600
464,0.094200,0.077800,0.071800
465,0.094500,0.078100,0.072000
466,0.094800,0.078300,0.072200
467,0.095100,0.078500,0.072400
468,0.095400,0.078700,0.072500
469,0.095700,0.078900,0.072700
470,0.096000,0.079100,0.072900
471,0.096300,0.079300,0.073000
472,0.096500,0.079400,0.073200
473,0.096800,0.079600,0.073300
474,0.097000,0.079800,0.073400
475,0.097300,0.080000,0.073600
476,0.097600,0.080200,0.073800
477,0.097900,0.080400,0.073900
478,0.098200,0.080600,0.074100
479,0.098600,0.080900,0.074400
480,0.099000,0.081200,0.074600
481,0.099500,0.081500,0.074900
482,0.100000,0.081900,0.075200
483,0.100500,0.082200,0.075500
484,0.101100,0.082700,0.075900
485,0.101800,0.083100,0.076200
486,0.102400,0.083500,0.076600
487,0.103000,0.084000,0.077000
488,0.103700,0.084500,0.077400
489,0.104400,0.084900,0.077800
490,0.105000,0.085400,0.078100
491,0.105600,0.085800,0.078500
492,0.106300,0.086300,0.078900
493,0.106900,0.086700,0.079300
494,0.107500,0.087100,0.079600
495,0.108100,0.087500,0.080000
496,0.108700,0.087900,0.080300
497,0.109300,0.088400,0.080700
498,0.109800,0.088800,0.081000
499,0.110400,0.089200,0.081400
500,0.111000,0.089600,0.081700
501,0.111600,0.090000,0.082000
502,0.112200,0.090400,0.082400
503,0.112700,0.090800,0.082700
504,0.113300,0.091200,0.083100
505,0.113900,0.091600,0.083400
506,0.114500,0.092000,0.083800
507,0.115100,0.092500,0.084100
508,0.115700,0.092900,0.084500
509,0.116400,0.093400,0.084900
510,0.117000,0.093800,0.085300
511,0.117700,0.094300,0.085700
512,0.118300,0.094800,0.086100
513,0.119000,0.095200,0.086500
514,0.119700,0.095700,0.086900
515,0.120400,0.096200,0.087300
516,0.121200,0.096700,0.087800
517,0.121900,0.097300,0.088200
518,0.122600,0.097800,0.088600
519,0.123300,0.098300,0.089100
520,0.124000,0.098800,0.089500
521,0.124700,0.099300,0.089900
522,0.125400,0.099800,0.090300
523,0.126100,0.100200,0.090700
524,0.126700,0.100700,0.091100
525,0.127300,0.101100,0.091500
526,0.127900,0.101600,0.091900
527,0.128500,0.102000,0.092200
528,0.129100,0.102400,0.092500
529,0.129500,0.102700,0.092800
530,0.130000,0.103000,0.093100
531,0.130400,0.103300,0.093400
532,0.130800,0.103600,0.093600
533,0.131100,0.103800,0.093800
534,0.131400,0.104000,0.094000
535,0.131700,0.104200,0.094100
536,0.132000,0.104400,0.094300
537,0.132200,0.104600,0.094500
538,0.132500,0.104800,0.094600
539,0.132700,0.105000,0.094800
540,0.133000,0.105200,0.094900
541,0.133300,0.105400,0.095100
542,0.133600,0.105600,0.095300
543,0.133900,0.105800,0.095500
544,0.134300,0.106100,0.095700
545,0.134600,0.106300,0.095900
546,0.135000,0.106600,0.096200
547,0.135500,0.106900,0.096400
548,0.135900,0.107300,0.096700
549,0.136500,0.107600,0.097000
550,0.137000,0.108000,0.097400
551,0.137600,0.108400,0.097700
552,0.138200,0.108900,0.098100
553,0.138900,0.109400,0.098500
554,0.139600,0.109900,0.098900
555,0.140300,0.110400,0.099400
556,0.141000,0.110900,0.099800
557,0.141700,0.111400,0.100300
558,0.142500,0.111900,0.100700
559,0.143200,0.112500,0.101200
560,0.144000,0.113000,0.101600
561,0.144700,0.113600,0.102100
562,0.145500,0.114100,0.102500
563,0.146200,0.114600,0.103000
564,0.146900,0.115100,0.103400
565,0.147600,0.115600,0.103900
566,0.148300,0.116100,0.104300
567,0.149000,0.116600,0.104700
568,0.149700,0.117100,0.105100
569,0.150400,0.117600,0.105500
570,0.151000,0.118100,0.105900
571,0.151600,0.118500,0.106300
572,0.152200,0.119000,0.106700
573,0.152900,0.119400,0.107100
574,0.153500,0.119800,0.107400
575,0.154000,0.120200,0.107800
576,0.154600,0.120700,0.108200
577,0.155200,0.121100,0.108500
578,0.155800,0.121500,0.108900
579,0.156400,0.121900,0.109300
580,0.157000,0.122400,0.109600
581,0.157600,0.122800,0.110000
582,0.158200,0.123300,0.110400
583,0.158800,0.123700,0.110800
584,0.159500,0.124200,0.111200
585,0.160100,0.124600,0.111600
586,0.160700,0.125000,0.111900
587,0.161300,0.125500,0.112300
588,0.161900,0.125900,0.112700
589,0.162400,0.126300,0.113000
590,0.163000,0.126700,0.113400
591,0.163500,0.127100,0.113700
592,0.164100,0.127500,0.114000
593,0.164600,0.127900,0.114400
594,0.165100,0.128200,0.114700
595,0.165600,0.128600,0.115000
596,0.166000,0.128900,0.115300
597,0.166500,0.129300,0.115600
598,0.167000,0.129600,0.115900
599,0.167500,0.130000,0.116200
600,0.168000,0.130400,0.116500
601,0.168500,0.130700,0.116800
602,0.169000,0.131100,0.117100
603,0.169500,0.131500,0.117500
604,0.170000,0.131800,0.117800
605,0.170600,0.132200,0.118100
606,0.171100,0.132600,0.118400
607,0.171600,0.133000,0.118700
608,0.172100,0.133300,0.119100
609,0.172500,0.133700,0.119400
610,0.173000,0.134000,0.119600
611,0.173400,0.134300,0.119900
612,0.173900,0.134600,0.120200
613,0.174300,0.134900,0.120500
614,0.174700,0.135200,0.120700
615,0.175100,0.135500,0.121000
616,0.175500,0.135800,0.121200
617,0.175800,0.136100,0.121400
618,0.176200,0.136400,0.121700
619,0.176600,0.136600,0.121900
620,0.177000,0.136900,0.122200
621,0.177400,0.137200,0.122400
622,0.177800,0.137500,0.122700
623,0.178200,0.137800,0.122900
624,0.178600,0.138100,0.123200
625,0.179000,0.138400,0.123400
626,0.179400,0.138700,0.123700
627,0.179800,0.139000,0.123900
628,0.180200,0.139300,0.124200
